waveform	[0]
t0	01-01-1904  00:00:00.000000
delta t	2.500000E-5

time	Y[0]
01-01-1904  00:00:00.010100	6.044040E-1
01-01-1904  00:00:00.010125	6.146035E-1
01-01-1904  00:00:00.010150	6.031290E-1
01-01-1904  00:00:00.010175	6.056789E-1
01-01-1904  00:00:00.010200	6.056789E-1
01-01-1904  00:00:00.010225	6.184283E-1
01-01-1904  00:00:00.010250	5.967543E-1
01-01-1904  00:00:00.010275	6.158784E-1
01-01-1904  00:00:00.010300	5.993042E-1
01-01-1904  00:00:00.010325	6.082288E-1
01-01-1904  00:00:00.010350	6.056789E-1
01-01-1904  00:00:00.010375	6.107787E-1
01-01-1904  00:00:00.010400	6.069539E-1
01-01-1904  00:00:00.010425	6.069539E-1
01-01-1904  00:00:00.010450	6.082288E-1
01-01-1904  00:00:00.010475	6.158784E-1
01-01-1904  00:00:00.010500	6.018541E-1
01-01-1904  00:00:00.010525	6.158784E-1
01-01-1904  00:00:00.010550	5.980293E-1
01-01-1904  00:00:00.010575	6.082288E-1
01-01-1904  00:00:00.010600	6.056789E-1
01-01-1904  00:00:00.010625	6.120536E-1
01-01-1904  00:00:00.010650	6.056789E-1
01-01-1904  00:00:00.010675	6.095037E-1
01-01-1904  00:00:00.010700	5.993042E-1
01-01-1904  00:00:00.010725	6.107787E-1
01-01-1904  00:00:00.010750	6.056789E-1
01-01-1904  00:00:00.010775	6.133286E-1
01-01-1904  00:00:00.010800	6.044040E-1
01-01-1904  00:00:00.010825	6.056789E-1
01-01-1904  00:00:00.010850	6.044040E-1
01-01-1904  00:00:00.010875	6.095037E-1
01-01-1904  00:00:00.010900	6.069539E-1
01-01-1904  00:00:00.010925	6.133286E-1
01-01-1904  00:00:00.010950	5.954794E-1
01-01-1904  00:00:00.010975	6.095037E-1
01-01-1904  00:00:00.011000	6.031290E-1
01-01-1904  00:00:00.011025	6.120536E-1
01-01-1904  00:00:00.011050	6.069539E-1
01-01-1904  00:00:00.011075	6.082288E-1
01-01-1904  00:00:00.011100	6.082288E-1
01-01-1904  00:00:00.011125	6.120536E-1
01-01-1904  00:00:00.011150	6.031290E-1
01-01-1904  00:00:00.011175	6.146035E-1
01-01-1904  00:00:00.011200	6.031290E-1
01-01-1904  00:00:00.011225	6.082288E-1
01-01-1904  00:00:00.011250	6.044040E-1
01-01-1904  00:00:00.011275	6.120536E-1
01-01-1904  00:00:00.011300	6.095037E-1
01-01-1904  00:00:00.011325	6.158784E-1
01-01-1904  00:00:00.011350	5.954794E-1
01-01-1904  00:00:00.011375	6.133286E-1
01-01-1904  00:00:00.011400	6.031290E-1
01-01-1904  00:00:00.011425	6.133286E-1
01-01-1904  00:00:00.011450	6.056789E-1
01-01-1904  00:00:00.011475	6.056789E-1
01-01-1904  00:00:00.011500	6.044040E-1
01-01-1904  00:00:00.011525	6.095037E-1
01-01-1904  00:00:00.011550	6.044040E-1
01-01-1904  00:00:00.011575	6.095037E-1
01-01-1904  00:00:00.011600	6.056789E-1
01-01-1904  00:00:00.011625	6.056789E-1
01-01-1904  00:00:00.011650	6.082288E-1
01-01-1904  00:00:00.011675	6.095037E-1
01-01-1904  00:00:00.011700	6.133286E-1
01-01-1904  00:00:00.011725	6.056789E-1
01-01-1904  00:00:00.011750	6.107787E-1
01-01-1904  00:00:00.011775	5.980293E-1
01-01-1904  00:00:00.011800	6.133286E-1
01-01-1904  00:00:00.011825	6.056789E-1
01-01-1904  00:00:00.011850	6.107787E-1
01-01-1904  00:00:00.011875	6.031290E-1
01-01-1904  00:00:00.011900	6.056789E-1
01-01-1904  00:00:00.011925	6.082288E-1
01-01-1904  00:00:00.011950	6.095037E-1
01-01-1904  00:00:00.011975	6.018541E-1
01-01-1904  00:00:00.012000	6.095037E-1
01-01-1904  00:00:00.012025	6.031290E-1
01-01-1904  00:00:00.012050	6.069539E-1
01-01-1904  00:00:00.012075	6.120536E-1
01-01-1904  00:00:00.012100	6.095037E-1
01-01-1904  00:00:00.012125	6.107787E-1
01-01-1904  00:00:00.012150	5.993042E-1
01-01-1904  00:00:00.012175	6.095037E-1
01-01-1904  00:00:00.012200	6.056789E-1
01-01-1904  00:00:00.012225	6.133286E-1
01-01-1904  00:00:00.012250	6.056789E-1
01-01-1904  00:00:00.012275	6.082288E-1
01-01-1904  00:00:00.012300	6.005792E-1
01-01-1904  00:00:00.012325	6.133286E-1
01-01-1904  00:00:00.012350	6.044040E-1
01-01-1904  00:00:00.012375	6.107787E-1
01-01-1904  00:00:00.012400	6.044040E-1
01-01-1904  00:00:00.012425	6.082288E-1
01-01-1904  00:00:00.012450	6.044040E-1
01-01-1904  00:00:00.012475	6.133286E-1
01-01-1904  00:00:00.012500	6.082288E-1
01-01-1904  00:00:00.012525	6.197033E-1
01-01-1904  00:00:00.012550	5.942044E-1
01-01-1904  00:00:00.012575	6.158784E-1
01-01-1904  00:00:00.012600	6.031290E-1
