depth[mm]	HF [V]	NF [V]	TGC [dB]
114,3	0,002	-0,002	0,000
114,4	0,002	-0,001	0,000
114,5	0,002	-0,001	0,000
114,7	0,002	-0,002	0,000
114,8	0,002	-0,002	0,000
114,9	0,002	-0,001	0,000
115,1	0,002	-0,001	0,000
115,2	0,002	-0,002	0,000
115,3	0,002	-0,003	0,000
115,5	0,003	-0,001	0,000
115,6	0,003	0,001	0,000
115,8	0,003	0,002	0,000
115,9	0,002	0,001	0,000
116,0	0,002	-0,001	0,000
116,2	0,002	-0,002	0,000
116,3	0,002	-0,002	0,000
116,4	0,002	-0,001	0,000
116,6	0,002	-0,002	0,000
116,7	0,002	-0,002	0,000
116,8	0,002	-0,002	0,000
117,0	0,002	-0,002	0,000
117,1	0,003	-0,002	0,000
117,3	0,004	-0,002	0,000
117,4	0,004	0,000	0,000
117,5	0,004	0,002	0,000
117,7	0,003	0,003	0,000
117,8	0,003	0,002	0,000
117,9	0,002	0,000	0,000
118,1	0,002	-0,002	0,000
118,2	0,002	-0,002	0,000
118,3	0,002	-0,002	0,000
118,5	0,003	-0,001	0,000
118,6	0,004	0,000	0,000
118,8	0,004	0,001	0,000
118,9	0,005	0,004	0,000
119,0	0,005	0,005	0,000
119,2	0,004	0,004	0,000
119,3	0,004	0,001	0,000
119,4	0,003	-0,002	0,000
119,6	0,003	-0,003	0,000
119,7	0,002	-0,002	0,000
119,8	0,002	-0,001	0,000
120,0	0,002	0,000	0,000
120,1	0,003	0,002	0,000
120,3	0,003	0,003	0,000
120,4	0,003	0,002	0,000
120,5	0,003	0,000	0,000
120,7	0,003	-0,002	0,000
120,8	0,002	-0,002	0,000
120,9	0,002	-0,002	0,000
121,1	0,002	-0,001	0,000
121,2	0,002	-0,002	0,000
121,3	0,002	-0,002	0,000
121,5	0,002	-0,002	0,000
121,6	0,002	-0,001	0,000
121,8	0,002	-0,002	0,000
121,9	0,003	-0,003	0,000
122,0	0,004	-0,002	0,000
122,2	0,005	0,001	0,000
122,3	0,006	0,005	0,000
122,4	0,005	0,004	0,000
122,6	0,004	0,001	0,000
122,7	0,003	-0,002	0,000
122,9	0,002	-0,003	0,000
123,0	0,002	-0,002	0,000
123,1	0,002	-0,002	0,000
123,3	0,003	-0,002	0,000
123,4	0,003	-0,002	0,000
123,5	0,003	0,000	0,000
123,7	0,003	0,002	0,000
123,8	0,002	0,001	0,000
123,9	0,001	0,001	0,000
124,1	0,001	0,000	0,000
124,2	0,001	0,001	0,000
124,4	0,001	0,001	0,000
124,5	0,001	0,001	0,000
124,6	0,002	0,000	0,000
124,8	0,002	-0,001	0,000
124,9	0,002	-0,003	0,000
125,0	0,003	-0,002	0,000
125,2	0,003	0,000	0,000
125,3	0,004	0,002	0,000
125,4	0,003	0,003	0,000
125,6	0,003	0,002	0,000
125,7	0,002	0,000	0,000
125,9	0,002	-0,002	0,000
126,0	0,002	-0,002	0,000
126,1	0,002	-0,002	0,000
126,3	0,002	-0,002	0,000
126,4	0,002	-0,002	0,000
126,5	0,003	-0,002	0,000
126,7	0,003	-0,002	0,000
126,8	0,004	0,000	0,000
126,9	0,004	0,002	0,000
127,1	0,004	0,003	0,000
127,2	0,003	0,002	0,000
127,4	0,002	-0,001	0,000
127,5	0,002	-0,002	0,000
127,6	0,002	-0,002	0,000
127,8	0,002	-0,002	0,000
127,9	0,003	-0,002	0,000
128,0	0,003	-0,003	0,000
128,2	0,003	-0,001	0,000
128,3	0,003	0,001	0,000
128,4	0,003	0,001	0,000
128,6	0,003	0,000	0,000
128,7	0,003	0,001	0,000
128,9	0,004	0,003	0,000
129,0	0,004	0,004	0,000
129,1	0,004	0,001	0,000
129,3	0,004	-0,002	0,000
129,4	0,004	-0,004	0,000
129,5	0,004	-0,002	0,000
129,7	0,003	0,001	0,000
129,8	0,002	0,002	0,000
129,9	0,001	0,001	0,000
130,1	0,001	0,000	0,000
130,2	0,001	0,000	0,000
130,4	0,001	0,001	0,000
130,5	0,001	0,001	0,000
130,6	0,001	0,000	0,000
130,8	0,001	-0,001	0,000
130,9	0,001	-0,001	0,000
131,0	0,001	0,000	0,000
131,2	0,001	0,001	0,000
131,3	0,001	0,000	0,000
131,4	0,001	-0,001	0,000
131,6	0,001	0,000	0,000
131,7	0,001	0,001	0,157
131,9	0,002	0,001	0,000
132,0	0,002	-0,001	0,000
132,1	0,003	-0,003	0,000
132,3	0,003	-0,003	0,000
132,4	0,003	-0,002	0,000
132,5	0,002	-0,002	0,000
132,7	0,003	-0,002	0,000
132,8	0,003	-0,003	0,000
133,0	0,004	-0,002	0,000
133,1	0,004	-0,001	0,000
133,2	0,004	0,000	0,000
133,4	0,003	0,001	0,000
133,5	0,002	0,001	0,000
133,6	0,001	0,000	0,000
133,8	0,000	0,000	0,000
133,9	0,001	0,000	0,000
134,0	0,002	-0,001	0,000
134,2	0,003	-0,003	0,000
134,3	0,004	-0,004	0,000
134,5	0,004	-0,003	0,000
134,6	0,004	-0,001	0,000
134,7	0,004	-0,002	0,000
134,9	0,006	-0,004	0,000
135,0	0,007	-0,003	0,000
135,1	0,008	0,002	0,000
135,3	0,006	0,005	0,000
135,4	0,003	0,003	0,000
135,5	0,001	-0,001	0,000
135,7	0,001	-0,001	0,000
135,8	0,003	0,001	0,000
136,0	0,005	-0,003	0,000
136,1	0,008	-0,008	0,000
136,2	0,009	-0,006	0,000
136,4	0,008	0,002	0,000
