depth[mm]	HF [V]	NF [V]	TGC [dB]
21,3	0,006	-0,005	0,000
21,4	0,004	-0,002	0,000
21,6	0,003	0,001	0,000
21,7	0,002	0,001	0,000
21,8	0,001	0,000	0,000
22,0	0,001	-0,001	0,000
22,1	0,002	0,000	0,000
22,2	0,004	0,003	0,000
22,4	0,005	0,005	0,000
22,5	0,005	0,003	0,000
22,7	0,004	0,000	0,000
22,8	0,004	-0,002	0,000
22,9	0,003	-0,003	0,000
23,1	0,002	-0,002	0,000
23,2	0,002	-0,002	0,000
23,3	0,002	-0,002	0,000
23,5	0,002	-0,002	0,000
23,6	0,003	-0,003	0,000
23,8	0,005	-0,003	0,000
23,9	0,006	0,000	0,000
24,0	0,007	0,004	0,000
24,2	0,006	0,006	0,000
24,3	0,005	0,004	0,000
24,4	0,004	0,000	0,000
24,6	0,003	-0,003	0,000
24,7	0,003	-0,003	0,000
24,8	0,003	-0,002	0,000
25,0	0,004	-0,002	0,000
25,1	0,005	0,000	0,000
25,3	0,006	0,003	0,000
25,4	0,007	0,006	0,000
25,5	0,007	0,007	0,000
25,7	0,007	0,006	0,000
25,8	0,007	0,003	0,000
25,9	0,008	0,000	0,000
26,1	0,009	-0,004	0,000
26,2	0,010	-0,008	0,000
26,3	0,011	-0,011	0,000
26,5	0,013	-0,011	0,000
26,6	0,014	-0,008	0,000
26,8	0,014	-0,002	0,000
26,9	0,014	0,003	0,000
27,0	0,014	0,008	0,000
27,2	0,014	0,012	0,000
27,3	0,014	0,014	0,000
27,4	0,015	0,014	0,000
27,6	0,015	0,012	0,000
27,7	0,015	0,006	0,000
27,8	0,015	-0,002	0,000
28,0	0,014	-0,009	0,000
28,1	0,012	-0,012	0,000
28,3	0,012	-0,011	0,000
28,4	0,011	-0,008	0,000
28,5	0,011	-0,003	0,000
28,7	0,011	0,002	0,000
28,8	0,010	0,007	0,000
28,9	0,010	0,009	0,000
29,1	0,008	0,009	0,000
29,2	0,008	0,007	0,000
29,3	0,007	0,006	0,000
29,5	0,007	0,005	0,000
29,6	0,008	0,004	0,000
29,8	0,009	0,000	0,000
29,9	0,010	-0,005	0,000
30,0	0,010	-0,009	0,000
30,2	0,009	-0,009	0,000
30,3	0,008	-0,006	0,000
30,4	0,007	-0,002	0,000
30,6	0,007	0,001	0,000
30,7	0,007	0,003	0,000
30,8	0,008	0,005	0,000
31,0	0,009	0,008	0,000
31,1	0,010	0,010	0,000
31,3	0,011	0,009	0,000
31,4	0,011	0,004	0,000
31,5	0,011	-0,003	0,000
31,7	0,011	-0,009	0,000
31,8	0,010	-0,009	0,000
31,9	0,009	-0,005	0,000
32,1	0,008	0,000	0,000
32,2	0,007	0,004	0,000
32,4	0,006	0,006	0,000
32,5	0,006	0,006	0,000
32,6	0,006	0,005	0,000
32,8	0,006	0,003	0,000
32,9	0,005	0,000	0,000
33,0	0,004	-0,003	0,000
33,2	0,004	-0,004	0,000
33,3	0,004	-0,003	0,000
33,4	0,004	0,000	0,000
33,6	0,006	0,003	0,000
33,7	0,006	0,006	0,000
33,9	0,007	0,006	0,000
34,0	0,006	0,003	0,000
34,1	0,005	0,000	0,000
34,3	0,004	-0,003	0,000
34,4	0,004	-0,004	0,000
34,5	0,004	-0,003	0,000
34,7	0,004	0,000	0,000
34,8	0,005	0,003	0,000
34,9	0,005	0,005	0,000
35,1	0,006	0,006	0,000
35,2	0,007	0,006	0,000
35,4	0,008	0,006	0,000
35,5	0,010	0,004	0,000
35,6	0,011	-0,002	0,000
35,8	0,012	-0,009	0,000
35,9	0,013	-0,012	0,000
36,0	0,012	-0,009	0,000
36,2	0,010	-0,002	0,000
36,3	0,008	0,005	0,000
36,4	0,007	0,006	0,000
36,6	0,006	0,005	0,000
36,7	0,006	0,005	0,000
36,9	0,007	0,006	0,000
37,0	0,008	0,005	0,000
37,1	0,009	0,000	0,000
37,3	0,010	-0,006	0,000
37,4	0,009	-0,009	0,000
37,5	0,008	-0,008	0,000
37,7	0,007	-0,005	0,000
37,8	0,007	-0,002	0,000
37,9	0,007	0,001	0,000
38,1	0,007	0,004	0,000
38,2	0,007	0,006	0,000
38,4	0,006	0,006	0,000
38,5	0,006	0,006	0,000
38,6	0,006	0,005	0,000
38,8	0,006	0,006	0,000
38,9	0,007	0,006	0,000
39,0	0,009	0,004	0,000
39,2	0,010	0,001	0,000
39,3	0,010	-0,004	0,000
39,4	0,011	-0,009	0,000
39,6	0,011	-0,011	0,000
39,7	0,011	-0,009	0,000
39,9	0,010	-0,002	0,000
40,0	0,009	0,004	0,000
40,1	0,007	0,006	0,000
40,3	0,006	0,006	0,000
40,4	0,006	0,006	0,000
40,5	0,007	0,006	0,000
40,7	0,008	0,004	0,000
40,8	0,008	0,000	0,000
41,0	0,008	-0,005	0,000
41,1	0,007	-0,007	0,000
41,2	0,005	-0,005	0,000
41,4	0,004	-0,002	0,000
41,5	0,005	0,000	0,000
41,6	0,006	0,003	0,000
41,8	0,007	0,006	0,000
41,9	0,007	0,007	0,000
42,0	0,007	0,004	0,000
42,2	0,006	0,000	0,000
42,3	0,005	-0,003	0,000
42,5	0,003	-0,003	0,000
42,6	0,003	-0,002	0,000
42,7	0,002	-0,002	0,000
42,9	0,002	-0,002	0,000
43,0	0,002	-0,002	0,000
43,1	0,002	-0,002	0,000
43,3	0,003	-0,002	0,000
43,4	0,003	-0,002	0,000
43,5	0,004	0,000	0,000
43,7	0,004	0,001	0,000
43,8	0,004	0,003	0,000
44,0	0,005	0,004	0,000
44,1	0,006	0,005	0,000
44,2	0,007	0,007	0,000
44,4	0,008	0,007	0,000
44,5	0,008	0,004	0,000
44,6	0,007	0,000	0,000
44,8	0,006	-0,002	0,000
44,9	0,004	-0,002	0,000
45,0	0,003	-0,002	0,000
45,2	0,003	-0,002	0,000
45,3	0,003	-0,002	0,000
45,5	0,003	-0,002	0,000
45,6	0,002	-0,002	0,000
45,7	0,002	-0,002	0,000
45,9	0,002	-0,002	0,000
46,0	0,002	-0,002	0,000
46,1	0,002	-0,002	0,000
46,3	0,002	-0,002	0,000
46,4	0,003	-0,002	0,000
46,5	0,003	0,000	0,000
46,7	0,003	0,002	0,000
46,8	0,004	0,003	0,000
47,0	0,004	0,004	0,000
47,1	0,005	0,003	0,000
47,2	0,005	0,001	0,000
47,4	0,005	-0,002	0,000
47,5	0,003	-0,003	0,000
47,6	0,002	-0,002	0,000
47,8	0,002	-0,001	0,000
47,9	0,002	-0,001	0,000
48,0	0,003	-0,003	0,000
48,2	0,003	-0,003	0,000
48,3	0,003	-0,001	0,000
48,5	0,003	0,002	0,000
48,6	0,002	0,002	0,000
48,7	0,002	-0,001	0,000
48,9	0,002	-0,002	0,000
49,0	0,003	0,001	0,000
49,1	0,004	0,004	0,000
49,3	0,005	0,004	0,000
49,4	0,005	0,001	0,000
49,5	0,004	-0,002	0,000
49,7	0,003	-0,003	0,000
49,8	0,002	-0,003	0,000
50,0	0,002	-0,001	0,000
50,1	0,003	0,001	0,000
50,2	0,004	0,004	0,000
50,4	0,005	0,004	0,000
50,5	0,005	0,002	0,000
50,6	0,005	-0,002	0,000
50,8	0,003	-0,003	0,000
50,9	0,002	-0,002	0,000
51,1	0,002	-0,001	0,000
51,2	0,002	-0,001	0,000
51,3	0,002	-0,003	0,000
51,5	0,002	-0,002	0,000
51,6	0,002	-0,001	0,000
51,7	0,002	-0,001	0,000
51,9	0,002	-0,002	0,000
52,0	0,003	-0,003	0,000
52,1	0,003	-0,002	0,000
52,3	0,003	0,001	0,000
52,4	0,003	0,002	0,000
52,6	0,002	0,000	0,000
52,7	0,002	-0,002	0,000
52,8	0,003	-0,002	0,000
53,0	0,004	0,000	0,000
53,1	0,005	0,004	0,000
53,2	0,005	0,005	0,000
53,4	0,004	0,004	0,000
53,5	0,004	0,001	0,000
53,6	0,003	-0,001	0,000
53,8	0,002	-0,002	0,000
53,9	0,002	-0,002	0,000
54,1	0,002	-0,002	0,000
54,2	0,002	-0,002	0,000
54,3	0,003	-0,002	0,000
54,5	0,005	0,000	0,000
54,6	0,006	0,005	0,000
54,7	0,007	0,007	0,000
54,9	0,007	0,005	0,000
55,0	0,006	0,000	0,000
55,1	0,004	-0,003	0,000
55,3	0,003	-0,002	0,000
55,4	0,002	-0,001	0,000
55,6	0,002	-0,002	0,000
55,7	0,002	-0,002	0,000
55,8	0,002	-0,002	0,000
56,0	0,002	-0,001	0,000
56,1	0,002	-0,002	0,000
56,2	0,004	-0,003	0,000
56,4	0,005	0,000	0,000
56,5	0,007	0,005	0,000
56,6	0,007	0,007	0,000
56,8	0,007	0,004	0,000
56,9	0,005	0,000	0,000
57,1	0,004	-0,002	0,000
57,2	0,003	-0,002	0,000
57,3	0,002	-0,002	0,000
57,5	0,002	-0,002	0,000
57,6	0,002	-0,002	0,000
57,7	0,002	-0,001	0,000
57,9	0,002	-0,002	0,000
58,0	0,003	-0,003	0,000
58,1	0,004	-0,002	0,000
58,3	0,005	0,001	0,000
58,4	0,004	0,004	0,000
58,6	0,003	0,003	0,000
58,7	0,002	0,001	0,000
58,8	0,002	0,000	0,000
59,0	0,002	0,001	0,000
59,1	0,002	0,000	0,000
59,2	0,002	-0,001	0,000
59,4	0,002	-0,002	0,000
59,5	0,002	-0,002	0,000
59,7	0,002	-0,002	0,000
59,8	0,004	-0,002	0,000
59,9	0,005	0,000	0,000
60,1	0,006	0,005	0,000
60,2	0,006	0,006	0,000
60,3	0,005	0,004	0,000
60,5	0,004	0,001	0,000
60,6	0,003	0,000	0,000
60,7	0,002	0,001	0,000
60,9	0,003	0,001	0,000
61,0	0,004	-0,001	0,000
61,2	0,003	-0,003	0,000
61,3	0,003	-0,002	0,000
61,4	0,002	-0,001	0,000
61,6	0,002	-0,002	0,000
61,7	0,002	-0,002	0,000
61,8	0,002	-0,002	0,000
62,0	0,002	0,000	0,000
62,1	0,002	0,002	0,000
62,2	0,002	0,001	0,000
62,4	0,001	0,001	0,000
62,5	0,001	0,000	0,000
62,7	0,001	0,000	0,000
62,8	0,001	0,000	0,000
62,9	0,001	0,000	0,000
63,1	0,001	0,000	0,000
63,2	0,001	0,001	0,000
63,3	0,002	0,002	0,000
63,5	0,002	0,001	0,000
63,6	0,003	0,000	0,000
63,7	0,003	-0,001	0,000
63,9	0,003	-0,002	0,000
64,0	0,002	-0,002	0,000
64,2	0,002	-0,002	0,000
64,3	0,002	-0,002	0,000
64,4	0,002	-0,001	0,000
64,6	0,002	0,000	0,000
64,7	0,002	0,001	0,000
64,8	0,001	0,002	0,000
65,0	0,001	0,001	0,000
65,1	0,001	0,000	0,000
65,2	0,001	0,001	0,000
65,4	0,002	0,002	0,000
65,5	0,003	0,002	0,000
65,7	0,003	0,000	0,000
65,8	0,003	-0,001	0,000
65,9	0,003	-0,002	0,000
66,1	0,002	-0,002	0,000
66,2	0,002	-0,002	0,000
66,3	0,002	-0,001	0,000
66,5	0,002	-0,002	0,000
66,6	0,002	-0,002	0,000
66,7	0,002	-0,002	0,000
66,9	0,002	-0,002	0,000
67,0	0,001	-0,001	0,000
67,2	0,001	-0,001	0,000
67,3	0,002	-0,002	0,000
67,4	0,003	-0,002	0,000
67,6	0,003	-0,002	0,000
67,7	0,004	0,001	0,000
67,8	0,005	0,004	0,000
68,0	0,005	0,005	0,000
68,1	0,005	0,004	0,000
68,3	0,004	0,001	0,000
68,4	0,003	0,000	0,000
68,5	0,003	-0,001	0,000
68,7	0,003	-0,001	0,000
68,8	0,002	-0,002	0,000
68,9	0,002	-0,002	0,000
69,1	0,002	-0,001	0,000
69,2	0,001	-0,001	0,000
69,3	0,002	-0,001	0,000
69,5	0,002	-0,003	0,000
69,6	0,003	-0,002	0,000
69,8	0,005	0,001	0,000
69,9	0,005	0,005	0,000
70,0	0,005	0,005	0,000
70,2	0,005	0,001	0,000
70,3	0,004	-0,002	0,000
70,4	0,003	-0,002	0,000
70,6	0,002	-0,001	0,000
70,7	0,001	-0,001	0,000
70,8	0,001	-0,002	0,000
71,0	0,002	-0,002	0,000
71,1	0,002	0,001	0,000
71,3	0,003	0,002	0,000
71,4	0,003	0,001	0,000
71,5	0,003	-0,001	0,000
71,7	0,003	-0,003	0,000
71,8	0,002	-0,002	0,000
71,9	0,002	-0,001	0,000
72,1	0,002	-0,001	0,000
72,2	0,001	-0,002	0,000
72,3	0,001	-0,002	0,000
72,5	0,002	-0,001	0,000
72,6	0,002	-0,001	0,000
72,8	0,002	-0,002	0,000
72,9	0,001	-0,002	0,000
73,0	0,001	-0,001	0,000
73,2	0,001	-0,001	0,000
73,3	0,002	-0,001	0,000
73,4	0,002	-0,002	0,000
73,6	0,003	-0,002	0,000
73,7	0,003	0,000	0,000
73,8	0,002	0,001	0,000
74,0	0,002	0,001	0,000
74,1	0,002	0,001	0,000
74,3	0,002	0,002	0,000
74,4	0,004	0,004	0,000
74,5	0,005	0,004	0,000
74,7	0,005	0,002	0,000
74,8	0,005	-0,002	0,000
74,9	0,003	-0,003	0,000
75,1	0,002	-0,001	0,000
75,2	0,001	-0,001	0,000
75,3	0,002	-0,001	0,000
75,5	0,002	-0,002	0,000
75,6	0,002	-0,001	0,000
75,8	0,002	-0,001	0,000
75,9	0,001	-0,001	0,000
76,0	0,002	-0,002	0,000
76,2	0,002	-0,001	0,000
76,3	0,003	0,001	0,000
76,4	0,003	0,002	0,000
76,6	0,003	0,001	0,000
76,7	0,003	-0,001	0,000
76,8	0,002	-0,002	0,000
77,0	0,002	-0,002	0,000
77,1	0,002	-0,001	0,000
77,3	0,001	-0,001	0,000
77,4	0,001	-0,002	0,000
77,5	0,001	-0,002	0,000
77,7	0,001	-0,001	0,000
77,8	0,001	-0,001	0,000
77,9	0,001	-0,001	0,000
78,1	0,001	-0,002	0,000
78,2	0,001	-0,001	0,000
78,4	0,001	-0,001	0,000
78,5	0,001	-0,001	0,000
78,6	0,002	-0,002	0,000
78,8	0,001	-0,002	0,000
78,9	0,001	-0,001	0,000
79,0	0,001	-0,001	0,000
79,2	0,002	-0,001	0,000
79,3	0,002	-0,002	0,000
79,4	0,004	-0,002	0,000
79,6	0,005	0,001	0,000
79,7	0,005	0,005	0,000
